,SearchType,Screen,Node,Repeat,Fringe,Deadlock,Time,Answer
0,SearchType.Breadth_Search,0,663,310,135,3,0.20844316482543945,"['u', 'l', 'l', 'l', 'l', 'd', 'r', 'r', 'r']"
1,SearchType.Depth_Search,0,1748,1172,15,6,0.6263415813446045,"['l', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'r', 'r']"
2,SearchType.Iterative_Depth_Search,0,144,80,19,3,0.17657828330993652,"['l', 'l', 'u', 'l', 'l', 'd', 'r', 'r', 'r']"
3,SearchType.A_Star_Search,0,38,7,21,0,0.01196908950805664,"['l', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'r']"
4,SearchType.Breadth_Search,1,56144,33094,2434,383,22.263964891433716,"['l', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r']"
5,SearchType.Depth_Search,1,10292,6283,309,99,5.7318854331970215,"['l', 'l', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'l', 'd', 'l', 'd', 'r', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'd', 'l', 'l', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'u', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'd', 'd', 'l', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'u', 'r', 'r', 'd', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'u', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'd', 'r', 'r', 'r', 'u', 'l', 'l', 'u', 'l', 'l', 'u', 'd', 'r', 'd', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'd', 'l', 'u', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'r', 'r', 'r', 'u', 'l', 'l', 'u', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'l', 'l', 'd', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'u', 'd', 'l', 'd', 'l', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'u', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'r', 'r', 'r', 'u', 'l', 'l', 'u', 'u', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'u', 'u', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'u', 'u', 'l', 'u', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'r', 'd', 'd', 'd', 'l', 'l', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'd', 'l', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'l', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'l', 'l', 'u', 'r']"
6,SearchType.Iterative_Depth_Search,1,782,408,2601,13,21.144707679748535,"['l', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r']"
7,SearchType.A_Star_Search,1,751,317,152,13,0.29279518127441406,"['l', 'u', 'u', 'u', 'd', 'd', 'd', 'd', 'l', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'r', 'u', 'u', 'u', 'u', 'l', 'l', 'd', 'd', 'd', 'd', 'r', 'r', 'u', 'l', 'd', 'l', 'u', 'u', 'd', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'r', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'l', 'l', 'u', 'r']"
8,SearchType.Breadth_Search,2,57899,35019,921,1198,20.514968395233154,"['u', 'l', 'l', 'd', 'l', 'd', 'r', 'u', 'u', 'r', 'r', 'd', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'u', 'r', 'u', 'l']"
9,SearchType.Depth_Search,2,28675,17841,146,723,13.022484302520752,"['d', 'l', 'l', 'l', 'l', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'u', 'r', 'r', 'd', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'r', 'd', 'd', 'l', 'u', 'l', 'l', 'r', 'r', 'd', 'r', 'u', 'u', 'l', 'd', 'd', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'r', 'l', 'l', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'u', 'l', 'l', 'r', 'r', 'd', 'r', 'u', 'u', 'u', 'l', 'l', 'd', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'u', 'd', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'd', 'r', 'u', 'u', 'l', 'l', 'u', 'l', 'l', 'l', 'd', 'r', 'r', 'd', 'r', 'l', 'u', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'l', 'r', 'r', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'l', 'u', 'r', 'u', 'r', 'r', 'd', 'l', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'l', 'l', 'r', 'r', 'd', 'r', 'u', 'u', 'l', 'l', 'd', 'r', 'd', 'r', 'u', 'u', 'l', 'u', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'r', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'd', 'r', 'r', 'd', 'd', 'l', 'u', 'l', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'r', 'r', 'd', 'l']"
10,SearchType.Iterative_Depth_Search,2,4692,2609,1993,165,28.523564338684082,"['u', 'l', 'l', 'd', 'l', 'd', 'r', 'u', 'u', 'r', 'r', 'd', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'u', 'r', 'u', 'l']"
11,SearchType.A_Star_Search,2,5928,2663,1007,229,2.161283493041992,"['u', 'l', 'l', 'd', 'l', 'd', 'r', 'u', 'u', 'r', 'r', 'd', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'u', 'l', 'u', 'u', 'r', 'r', 'd', 'l']"
12,SearchType.Breadth_Search,3,516,244,33,24,0.15362095832824707,"['d', 'l', 'l', 'u', 'd', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'r', 'd', 'd', 'l', 'u']"
13,SearchType.Depth_Search,3,776,412,12,38,0.24032878875732422,"['d', 'l', 'l', 'l', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'u', 'l', 'l', 'u', 'u', 'r', 'd', 'r', 'd', 'd', 'l', 'u']"
14,SearchType.Iterative_Depth_Search,3,49,22,85,4,0.35405850410461426,"['d', 'l', 'l', 'u', 'd', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'r', 'd', 'd', 'l', 'u']"
15,SearchType.A_Star_Search,3,55,17,11,6,0.016921043395996094,"['d', 'l', 'l', 'u', 'd', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'r', 'd', 'd', 'l', 'u']"
16,SearchType.Breadth_Search,4,44256,25592,68,1690,16.180267095565796,"['r', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'l', 'l', 'd', 'r', 'r', 'u', 'l', 'u', 'u', 'r', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'r', 'u', 'l', 'l', 'l', 'u', 'l', 'd']"
17,SearchType.Depth_Search,4,23924,13928,67,1087,9.479947805404663,"['l', 'd', 'r', 'l', 'u', 'r', 'u', 'r', 'r', 'd', 'd', 'l', 'r', 'r', 'r', 'u', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'r', 'r', 'r', 'u', 'l', 'd', 'r', 'u', 'u', 'l', 'd', 'd', 'l', 'l', 'u', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'r', 'u', 'l', 'l', 'u', 'u', 'r', 'd', 'r', 'l', 'l', 'd', 'r', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'u', 'u', 'l', 'd', 'r', 'd', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'r', 'r', 'l', 'l', 'l', 'u', 'r', 'u', 'r', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'd', 'r', 'u', 'u', 'l', 'l', 'l', 'u', 'l', 'd']"
18,SearchType.Iterative_Depth_Search,4,2862,1450,2386,47,82.29942989349365,"['r', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'l', 'l', 'd', 'r', 'r', 'u', 'l', 'u', 'u', 'r', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'r', 'u', 'l', 'l', 'l', 'u', 'l', 'd']"
19,SearchType.A_Star_Search,4,9033,4387,814,515,3.5130550861358643,"['r', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'l', 'd', 'l', 'd', 'r', 'r', 'r', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'r', 'u', 'l', 'l', 'l', 'u', 'l', 'd']"
20,SearchType.Breadth_Search,5,1620959,680825,381966,47736,10802.937137842178,solution not found
21,SearchType.Depth_Search,5,5046017,3280266,1518,164196,10800.13261127472,solution not found
22,SearchType.Iterative_Depth_Search,5,1441593,740025,0,43636,17533.33213710785,solution not found
23,SearchType.A_Star_Search,5,62079,25580,14622,1768,45.907015800476074,"['l', 'l', 'l', 'd', 'r', 'l', 'l', 'd', 'd', 'r', 'r', 'l', 'l', 'u', 'u', 'r', 'u', 'u', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'l', 'd', 'r', 'u', 'l', 'u', 'u', 'r', 'r', 'd', 'r', 'r', 'u', 'l', 'r', 'r', 'd', 'l', 'l', 'u', 'u', 'l', 'l', 'd', 'r', 'r', 'r', 'u', 'r', 'd', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'd', 'd', 'r', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'r', 'u', 'u', 'l', 'd', 'r', 'd', 'l', 'r', 'u', 'r', 'r', 'd', 'l', 'r', 'd', 'd', 'l', 'l', 'r', 'u', 'u', 'r', 'u', 'l', 'u', 'l', 'l', 'd', 'd', 'r', 'l', 'u', 'u', 'r', 'r', 'd', 'l', 'd', 'l', 'l', 'u', 'u', 'r', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'u', 'l', 'u', 'r', 'u', 'r', 'r', 'd', 'r', 'r', 'd', 'l', 'u', 'l', 'u', 'l', 'l', 'd', 'r', 'r', 'r', 'd', 'l', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'u', 'u', 'r', 'd', 'u', 'l', 'l', 'u', 'u', 'r', 'd', 'u', 'r', 'd', 'd', 'u', 'l', 'l', 'd', 'r']"
24,SearchType.Breadth_Search,6,5109855,2947021,35352,73452,10800.42563033104,solution not found
