,SearchType,Screen,Node,Repeat,Fringe,Deadlock,Time,Answer
25,SearchType.Depth_Search,6,78544,45815,579,1969,53.2235689163208,"['r', 'u', 'l', 'u', 'l', 'l', 'u', 'u', 'r', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'u', 'l', 'd', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'l', 'u', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'd', 'd', 'u', 'r', 'u', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'l', 'u', 'l', 'l', 'u', 'u', 'r', 'r', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'r', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'l', 'u', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'd', 'r', 'u', 'u', 'l', 'u', 'u', 'r', 'd', 'l', 'd', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'd', 'r', 'u', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'l', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'u', 'r', 'd', 'l', 'd', 'l', 'l', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'u', 'l', 'd', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'u', 'r', 'd', 'l', 'd', 'd', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'r', 'u', 'l', 'l', 'd', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'd', 'l', 'l', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'l', 'd', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'u', 'u', 'l', 'd', 'd', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'd', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'r', 'u', 'l', 'l', 'd', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'l', 'l', 'u', 'u', 'l', 'd', 'r', 'd', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'r', 'u', 'l', 'l', 'u', 'u', 'l', 'd', 'd', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'l', 'l', 'u', 'l', 'u', 'u', 'r', 'l', 'd', 'd', 'r', 'd', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'l', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'r', 'u', 'l', 'l', 'd', 'l', 'l', 'l', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'd', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'u', 'u', 'l', 'd', 'd', 'd', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'l', 'd', 'l', 'l', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'r', 'u', 'l', 'l', 'u', 'l', 'd', 'd', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'l', 'u', 'l', 'l', 'u', 'u', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'd', 'r', 'u', 'l', 'u', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'l', 'u', 'l', 'u', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'u', 'r', 'd', 'l', 'd', 'r', 'l', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'd', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'l', 'l', 'u', 'u', 'l', 'd', 'r', 'd', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u']"
26,SearchType.Iterative_Depth_Search,6,132533,76010,15172,2330,10463.692475795746,"['u', 'r', 'u', 'u', 'r', 'u', 'u', 'l', 'd', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'r', 'r', 'r', 'u', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'r', 'r', 'r', 'u', 'u', 'u', 'r', 'd', 'd', 'r', 'd', 'l', 'l', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'u', 'd', 'd', 'd', 'd', 'r', 'r', 'd', 'd', 'r', 'u', 'u', 'u', 'r', 'u', 'l', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u']"
27,SearchType.A_Star_Search,6,23844,12887,1087,673,13.755741834640503,"['r', 'u', 'u', 'u', 'r', 'u', 'u', 'r', 'r', 'd', 'l', 'u', 'l', 'l', 'd', 'l', 'l', 'r', 'r', 'u', 'r', 'r', 'd', 'l', 'l', 'l', 'r', 'u', 'u', 'u', 'r', 'd', 'l', 'd', 'd', 'r', 'r', 'u', 'l', 'd', 'l', 'u', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'u', 'u', 'u', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'd', 'l', 'l', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'd', 'd', 'r', 'd', 'l', 'l', 'r', 'd', 'd', 'l', 'd', 'd', 'r', 'u', 'u', 'u', 'u', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'd', 'd', 'd', 'r', 'r', 'r', 'u', 'u', 'u', 'd', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'u', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'd', 'r', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'd', 'd', 'r', 'd', 'l', 'l', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'l', 'l', 'u', 'u', 'u']"
28,SearchType.Breadth_Search,7,812153,471165,6044,10964,559.5607693195343,"['l', 'l', 'l', 'l', 'd', 'd', 'd', 'd', 'u', 'u', 'u', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'd', 'd', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l', 'l', 'd', 'l', 'l', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'r', 'u', 'u', 'l', 'u', 'u', 'u', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'd', 'd', 'd', 'r', 'd', 'd', 'd', 'l', 'u', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'l', 'd', 'd', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l']"
29,SearchType.Depth_Search,7,79019,46908,334,1513,68.25597882270813,"['l', 'l', 'l', 'l', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'u', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'l', 'u', 'u', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'l', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'u', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'l', 'u', 'r', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'd', 'l', 'l', 'u', 'u', 'r', 'd', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'u', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'l', 'u', 'r', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'l', 'u', 'u', 'r', 'r', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'd', 'l', 'l', 'u', 'u', 'r', 'd', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'u', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l', 'l', 'l', 'd', 'r', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'l', 'u', 'u', 'r', 'r', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'u', 'r', 'd', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'd', 'l', 'l', 'u', 'u', 'r', 'd', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'u', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'l', 'u', 'u', 'r', 'r', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'd', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'd', 'l', 'l', 'u', 'u', 'r', 'd', 'r', 'u', 'l', 'l', 'd', 'd', 'd', 'r', 'u', 'l', 'u', 'r', 'l', 'd', 'd', 'r', 'u', 'r', 'u', 'l', 'l', 'u', 'r', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'l', 'l', 'u', 'r', 'u', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'l', 'u', 'u', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'u', 'u', 'l', 'u', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'u', 'l', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'u', 'r', 'u', 'r', 'u', 'u', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'u', 'l', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'u', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'r', 'r', 'u', 'l', 'd', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'l', 'd', 'd', 'd', 'r', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'u', 'u', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'r']"
30,SearchType.Iterative_Depth_Search,7,14254,7978,18211,349,1936.1396036148071,"['l', 'l', 'l', 'l', 'd', 'd', 'd', 'd', 'u', 'u', 'u', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'd', 'd', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l', 'l', 'd', 'l', 'l', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'r', 'u', 'u', 'l', 'u', 'u', 'u', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'u', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'l', 'd', 'd', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l']"
31,SearchType.A_Star_Search,7,17878,9358,1238,381,10.574090480804443,"['l', 'l', 'l', 'l', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'u', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'r', 'r', 'u', 'r', 'r', 'd', 'l', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'd', 'd', 'd', 'd', 'd', 'r', 'u', 'l', 'u', 'u', 'r', 'r', 'u', 'r', 'u', 'u', 'u', 'l', 'l', 'd', 'r', 'u', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'd', 'd', 'd', 'd', 'd', 'r', 'u', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'u', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'd', 'l', 'r', 'u', 'r', 'r', 'd', 'l', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'u', 'u', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'u', 'l', 'l', 'd', 'r', 'u', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'r', 'l', 'd', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'u', 'r', 'r', 'u', 'r', 'u', 'u', 'd', 'd', 'l', 'd', 'l', 'l', 'u', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'l', 'r', 'r', 'u', 'l', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'r', 'r', 'l', 'l', 'd', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r', 'l', 'u', 'u', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'd', 'd', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l', 'd', 'd', 'd', 'l', 'd', 'l', 'l', 'u', 'u', 'u', 'r']"
32,SearchType.Breadth_Search,8,460,219,33,30,0.1396198272705078,"['d', 'l', 'd', 'd', 'r', 'u', 'r', 'r', 'd', 'l', 'd', 'l', 'u']"
33,SearchType.Depth_Search,8,176,88,9,10,0.05186152458190918,"['l', 'd', 'd', 'd', 'r', 'd', 'r', 'u', 'l', 'u', 'l', 'd', 'r', 'd', 'r', 'u', 'r', 'u', 'l']"
34,SearchType.Iterative_Depth_Search,8,30,11,30,2,0.12766194343566895,"['d', 'l', 'd', 'd', 'r', 'u', 'd', 'd', 'r', 'u', 'r', 'u', 'l']"
35,SearchType.A_Star_Search,8,60,16,15,9,0.01795172691345215,"['d', 'l', 'd', 'd', 'r', 'u', 'r', 'r', 'd', 'l', 'd', 'l', 'u']"
36,SearchType.Breadth_Search,9,3516142,1927078,184343,84701,10801.936381816864,solution not found
37,SearchType.Depth_Search,9,209977,128593,190,3888,133.3162920475006,"['l', 'l', 'l', 'l', 'd', 'd', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'd', 'l', 'l', 'r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'l', 'r', 'u', 'u', 'l', 'u', 'l', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'r', 'd', 'r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'u', 'l', 'u', 'l', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'r', 'r', 'd', 'r', 'd', 'd', 'l', 'r', 'd', 'd', 'l', 'l', 'u', 'r', 'u', 'r', 'u', 'u', 'r', 'u', 'l', 'l', 'd', 'r', 'd', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'u', 'l', 'd', 'l', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'u', 'l', 'u', 'u', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'r', 'd', 'l', 'u', 'r', 'u', 'l', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'd', 'r', 'd', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'u', 'l', 'd', 'l', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'u', 'd', 'd', 'l', 'd', 'l', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'u', 'r', 'u', 'l', 'd', 'd', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'r', 'u', 'l', 'u', 'u', 'r', 'u', 'l', 'u', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'r', 'r', 'u', 'u', 'u', 'u', 'u']"
38,SearchType.Iterative_Depth_Search,9,583155,338148,0,17165,11771.11805653572,solution not found
39,SearchType.A_Star_Search,9,5156,2488,692,84,5.235994338989258,"['l', 'l', 'l', 'l', 'd', 'd', 'd', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'l', 'u', 'l', 'l', 'd', 'r', 'd', 'r', 'l', 'u', 'u', 'r', 'r', 'd', 'r', 'd', 'l', 'l', 'r', 'u', 'u', 'l', 'l', 'd', 'r', 'd', 'r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'l', 'u', 'r', 'd', 'd', 'r', 'r', 'u', 'u', 'u', 'u', 'r', 'u', 'l', 'd', 'l', 'u', 'd', 'r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'r', 'd', 'r', 'u', 'u', 'u', 'u', 'r', 'u', 'l', 'u', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'r', 'd', 'r', 'u', 'u', 'u', 'u', 'l', 'l', 'l', 'u', 'r']"
